Date,6_month,1_year,18_month,2_year,simplicity_floating_pct,OCR
2021-04-30,3.33,2.33,2.71,2.53,2.25,0.25
2021-05-31,3.45,2.3,2.54,2.51,2.25,0.25
2021-06-30,3.24,2.26,2.42,2.5,2.25,0.25
2021-07-31,3.18,2.25,2.43,2.52,2.11,0.25
2021-08-31,3.32,2.41,2.52,2.66,1.9,0.25
2021-09-30,3.24,2.56,2.67,2.75,1.9,0.25
2021-10-31,3.49,2.64,2.84,2.96,1.9,0.5
2021-11-30,3.77,2.95,3.3,3.3,2.1625,0.75
2021-12-31,3.94,3.23,3.54,3.75,2.25,0.75
2022-01-31,3.88,3.42,3.76,3.95,2.25,0.75
2022-02-28,3.98,3.43,3.82,3.95,2.475,1.0
2022-03-31,3.97,3.52,3.81,4.05,3.15,1.0
2022-04-30,4.23,3.72,4.01,4.26,3.15,1.5
2022-05-31,4.51,4.01,4.42,4.62,3.3375000000000004,2.0
2022-06-30,4.79,4.26,4.62,4.89,3.9,2.0
2022-07-31,5.03,4.62,4.81,5.06,3.9,2.5
2022-08-31,5.12,4.82,4.95,5.24,3.9,3.0
2022-09-30,5.2,4.87,5.04,5.21,4.4,3.0
2022-10-31,5.39,4.98,5.25,5.34,4.4,3.5
2022-11-30,5.7,5.35,5.51,5.49,4.5875,4.25
2022-12-31,5.94,5.65,5.84,5.87,5.15,4.25
2023-01-31,6.18,5.92,6.13,6.13,5.15,4.25
2023-02-28,6.39,6.09,6.27,6.24,5.15,4.75
2023-03-31,6.48,6.06,6.21,6.1,5.78,4.75
2023-04-30,6.59,6.21,6.3,6.18,5.8500000000000005,5.25
2023-05-31,6.7,6.25,6.27,6.04,5.975,5.5
2023-06-30,6.81,6.48,6.46,6.2,6.1,5.5
2023-07-31,7.08,6.58,6.59,6.35,6.1,5.5
2023-08-31,7.15,6.76,6.77,6.49,6.1,5.5
2023-09-30,7.17,6.79,6.82,6.47,6.1,5.5
2023-10-31,7.24,6.94,6.91,6.67,6.3625,5.5
2023-11-30,7.23,6.97,6.98,6.82,6.4,5.5
2023-12-31,7.34,7.03,7.04,6.82,6.4,5.5
2024-01-31,7.33,7.09,6.99,6.9,6.4,5.5
2024-02-29,7.11,6.98,6.92,6.75,6.4,5.5
2024-03-31,7.19,6.94,6.87,6.7,6.4,5.5
2024-04-30,7.09,6.9,6.85,6.65,6.4,5.5
2024-05-31,7.04,6.81,6.78,6.63,6.4,5.5
2024-06-30,7.12,6.87,6.76,6.66,6.4,5.5
2024-07-31,7.04,6.84,6.8,6.64,6.4,5.5
2024-08-31,6.91,6.66,6.38,6.31,6.4,5.25
2024-09-30,6.85,6.38,6.1,5.89,6.4,5.25
2024-10-31,6.73,5.97,5.98,5.83,6.15,4.75
2024-11-30,6.51,5.78,5.93,5.75,6.1125,4.25
2024-12-31,6.09,5.7,5.76,5.67,5.66,4.25
2025-01-31,6.14,5.64,5.77,5.59,5.489999999999999,4.25
2025-02-28,6.03,5.46,5.45,5.31,5.489999999999999,3.75
2025-03-31,5.85,5.18,5.52,5.18,4.987500000000001,3.75
2025-04-30,5.82,5.19,5.26,5.08,4.95,3.5
2025-05-31,5.46,4.97,5.03,5.01,4.95,3.25
2025-06-30,5.41,4.92,4.98,5.02,4.8500000000000005,3.25
2025-07-31,5.35,4.86,5.01,4.99,4.8,3.25
2025-08-31,5.22,4.84,4.96,4.94,4.8,3.0
2025-09-30,5.05,4.68,4.82,4.79,4.6375,3.0
